INSURANCE_POLICY_ID,SENTIMENT_SCORE,GROSS_PREMIUM,PREMIUM_AMOUNT,RENEWAL_DATE,PAYMENT_FREQUENCY,CHURN,CURRENT_ROW_INDICATOR,REGION,COUNTRY,COMPETITIVE_PREMIUM_AMOUNT_MIN,COMPETITIVE_PRICE,COUNTRY_NAME,BUNDLE_INDICATOR,REGION_NAME,POSTAL_CODE,NUMBER_OF_PRODUCTS,NUMBER_OF_COMPLAINTS,PAYMENT_TYPE,CUSTOMER_TYPE,CANCELLATION_REASON,NUMBER_OF_RISKS,AUTO_MAKE,AUTO_YEAR,LENGTH_OF_CAR_OWNERSHIP,AUTO_MODEL,AGENT,CHANNEL
10001887,101,225,1000,2018-4-06,YEARLY,0,1,OHIO,US,925,125,US,0,CENTRAL,430,2,0,CASH,SHORT-TERM,DECEASED,3,BMW,2015,2,4SERIES,Morris,Agent
10001888,122,600,900,2018-4-07,YEARLY,0,1,OHIO,US,550,50,US,0,CENTRAL,430,2,0,CASH,LONG-TERM,EVENT,0,FORD,2009,8,F150,Collins,Bank
10001889,111,550,885,2018-4-08,QUARTERLY,0,1,OHIO,US,600,100,US,0,CENTRAL,430,3,1,CASH,SHORT-TERM,DECEASED,3,BMW,2016,1,4SERIES,Brown,Agent
10001890,125,750,600,2018-4-09,YEARLY,0,1,OHIO,US,770,75,US,0,CENTRAL,430,1,16,CASH,SHORT-TERM,NSF,2,FORD,2011,6,F150,Bell,Bank
10001891,166,600,550,2018-4-10,YEARLY,0,1,OHIO,US,900,100,US,0,CENTRAL,430,2,10,CASH,NEW,NSF,2,GMC,2009,8,ACADIA,Lewis,Bank
10001892,175,700,750,2018-4-11,QUARTERLY,0,1,OHIO,US,522,120,US,0,CENTRAL,430,2,15,CASH,SHORT-TERM,NSF,3,TOYOTA,2016,1,CAMRY,Anderson,Agent
10001893,150,650,720,2018-4-12,QUARTERLY,0,1,OHIO,US,725,80,US,0,CENTRAL,430,2,11,CASH,NEW,NSF,2,GMC,2012,5,ACADIA,Turner,Bank
10001894,100,750,550,2018-4-13,QUARTERLY,1,1,OHIO,US,525,90,US,1,CENTRAL,430,2,0,CASH,SHORT-TERM,DECEASED,4,BMW,2016,1,4SERIES,Mitchell,Agent
10001895,111,450,500,2018-4-14,QUARTERLY,0,1,OHIO,US,750,200,US,0,CENTRAL,430,2,4,CASH,SHORT-TERM,DECEASED,2,BMW,2015,2,4SERIES,Rodriguez,Bank
10001896,155,500,600,2018-4-15,MONTHLY,0,1,OHIO,US,800,150,US,0,CENTRAL,430,2,8,DEBIT,LONG-TERM,EVENT,0,FORD,2005,12,F150,Baker,Bank
10001897,120,600,710,2017-3-09,YEARLY,0,1,OHIO,US,750,155,US,0,CENTRAL,430,3,2,CASH,SHORT-TERM,DECEASED,4,TOYOTA,2014,3,CAMRY,Turner,Agent
10001898,105,890,865,2017-3-10,MONTHLY,0,1,OHIO,US,800,120,US,0,CENTRAL,430,3,1,CASH,SHORT-TERM,DECEASED,4,BMW,2016,1,4SERIES,Wilson,Agent
10001899,155,500,525,2017-3-11,MONTHLY,1,1,OHIO,US,925,90,US,0,CENTRAL,430,5,0,DEBIT,LONG-TERM,EVENT,0,FORD,2011,6,F150,Moore,Bank
10001900,120,450,750,2018-4-19,QUARTERLY,0,1,OHIO,US,550,50,US,0,CENTRAL,430,3,5,CASH,NEW,NSF,3,GMC,2012,5,ACADIA,Parker,Bank
10001901,130,450,700,2018-4-20,MONTHLY,0,1,OHIO,US,600,55,US,0,CENTRAL,430,4,9,DEBIT,SHORT-TERM,EVENT,2,GMC,2012,5,ACADIA,Davis,Bank
10001902,135,625,1200,2019-3-22,YEARLY,0,1,OHIO,US,770,45,US,0,CENTRAL,430,2,0,DEBIT,NEW,NSF,2,FORD,2009,8,F150,Morris,Bank
10001903,155,500,900,2019-3-23,YEARLY,0,1,OHIO,US,900,100,US,0,CENTRAL,430,1,0,DEBIT,LONG-TERM,EVENT,0,FORD,2005,12,F150,Scott,Bank
10001904,170,900,1000,2019-3-24,QUARTERLY,0,1,OHIO,US,522,100,US,0,CENTRAL,430,3,0,CREDIT,SHORT-TERM,DECEASED,2,BMW,2016,1,4SERIES,Phillips,Agent
10001905,190,600,1000,2018-4-16,YEARLY,0,1,OHIO,US,450,125,US,0,CENTRAL,430,3,12,CASH,SHORT-TERM,DECEASED,4,HONDA,2016,1,CIVIC,Cook,Bank
10001906,100,225,900,2018-4-17,MONTHLY,1,1,OHIO,US,480,50,US,0,CENTRAL,430,3,9,CASH,NEW,DECEASED,3,GMC,2016,1,ACADIA,Sanders,Bank
10001907,101,250,885,2018-4-18,YEARLY,0,1,OHIO,US,655,100,US,0,CENTRAL,430,3,0,DEBIT,NEW,EVENT,2,GMC,2015,2,ACADIA,Gray,Bank
10001908,122,600,600,2018-4-01,MONTHLY,0,1,OHIO,US,500,75,US,1,CENTRAL,430,2,5,CASH,SHORT-TERM,DECEASED,2,BMW,2016,1,4SERIES,Reed,Bank
10001909,111,500,550,2018-4-02,MONTHLY,0,1,OHIO,US,700,100,US,0,CENTRAL,430,2,3,DEBIT,LONG-TERM,EVENT,0,FORD,2005,12,F150,Jones,Bank
10001910,125,550,750,2018-4-03,YEARLY,0,1,OHIO,US,725,120,US,0,CENTRAL,430,2,8,DEBIT,NEW,EVENT,2,FORD,2009,8,F150,Thomas,Bank
10001911,166,225,720,2018-4-04,MONTHLY,1,1,OHIO,US,525,80,US,0,CENTRAL,430,2,2,CASH,SHORT-TERM,DECEASED,1,TOYOTA,2014,3,CAMRY,Watson,Agent
10001912,122,600,550,2018-4-05,MONTHLY,0,1,OHIO,US,750,90,US,1,CENTRAL,430,2,0,DEBIT,NEW,NSF,2,BMW,2011,6,4SERIES,Green,Bank
10001913,155,550,500,2018-4-06,QUARTERLY,0,1,OHIO,US,800,200,US,0,CENTRAL,430,2,0,DEBIT,LONG-TERM,NSF,2,GMC,2012,5,ACADIA,Martin,Bank
10001914,120,750,600,2018-4-07,MONTHLY,0,1,OHIO,US,750,150,US,0,CENTRAL,430,3,1,DEBIT,LONG-TERM,EVENT,0,GMC,2009,8,ACADIA,Nelson,Bank
10001915,130,600,710,2018-4-08,YEARLY,0,1,OHIO,US,800,155,US,0,CENTRAL,430,1,16,DEBIT,LONG-TERM,EVENT,0,FORD,2005,12,F150,Howard,Bank
10001916,135,700,865,2018-4-09,YEARLY,0,1,OHIO,US,925,120,US,0,CENTRAL,430,4,10,DEBIT,NEW,NSF,3,BMW,2012,5,4SERIES,Gray,Bank
10001917,155,650,525,2018-4-10,QUARTERLY,0,1,OHIO,US,550,90,US,0,CENTRAL,430,3,15,DEBIT,LONG-TERM,EVENT,0,FORD,2005,12,F150,Parker,Bank
10001918,170,750,750,2018-4-11,YEARLY,1,1,OHIO,US,600,50,US,0,CENTRAL,430,4,11,DEBIT,LONG-TERM,EVENT,0,FORD,2005,12,F150,King,Bank
10001919,190,450,700,2018-4-12,YEARLY,0,1,OHIO,US,770,55,US,1,CENTRAL,430,2,0,DEBIT,LONG-TERM,EVENT,3,FORD,2009,8,F150,Campbell,Bank
10001920,100,500,1200,2018-4-13,QUARTERLY,0,1,OHIO,US,900,45,US,0,CENTRAL,430,1,4,CASH,SHORT-TERM,DECEASED,3,BMW,2015,2,4SERIES,Jackson,Agent
10001921,101,600,900,2018-4-14,QUARTERLY,0,1,OHIO,US,522,100,US,0,CENTRAL,430,3,8,CASH,NEW,NSF,2,GMC,2011,6,ACADIA,Nelson,Bank
10001922,122,890,1000,2018-4-15,QUARTERLY,0,1,OHIO,US,450,100,US,0,CENTRAL,430,3,2,CASH,NEW,NSF,3,GMC,2011,6,ACADIA,Adams,Bank
10001923,111,500,1000,2017-3-09,QUARTERLY,0,1,OHIO,US,480,125,US,0,CENTRAL,430,3,1,CASH,SHORT-TERM,DECEASED,1,TOYOTA,2016,1,CAMRY,Green,Agent
10001924,125,450,900,2017-3-10,MONTHLY,1,1,OHIO,US,655,50,US,1,CENTRAL,430,3,0,CREDIT,SHORT-TERM,DECEASED,1,HONDA,2014,3,CIVIC,Watson,Agent
10001925,166,450,885,2017-3-11,YEARLY,0,1,OHIO,US,500,100,US,0,CENTRAL,430,2,5,CASH,NEW,NSF,2,GMC,2012,5,ACADIA,Lee,Bank
10001926,175,625,600,2018-4-19,MONTHLY,0,1,OHIO,US,700,75,US,0,CENTRAL,430,2,9,CASH,SHORT-TERM,DECEASED,3,BMW,2015,2,4SERIES,Morris,Agent
10001927,150,500,550,2018-4-20,MONTHLY,0,1,OHIO,US,725,100,US,0,CENTRAL,430,2,0,CASH,LONG-TERM,EVENT,0,FORD,2009,8,F150,Collins,Bank
10001928,100,900,750,2019-3-22,QUARTERLY,0,1,OHIO,US,525,120,US,0,CENTRAL,430,2,0,CASH,SHORT-TERM,DECEASED,3,BMW,2016,1,4SERIES,Brown,Agent
10001929,111,600,720,2019-3-23,MONTHLY,0,1,OHIO,US,750,80,US,0,CENTRAL,430,2,0,CASH,SHORT-TERM,NSF,2,FORD,2011,6,F150,Bell,Bank
10001930,155,225,550,2019-3-24,YEARLY,0,1,OHIO,US,800,90,US,0,CENTRAL,430,2,12,DEBIT,LONG-TERM,EVENT,0,FORD,2005,12,F150,Baker,Bank
10001931,120,250,500,2018-4-16,YEARLY,1,1,OHIO,US,750,200,US,0,CENTRAL,430,3,9,CASH,SHORT-TERM,DECEASED,4,TOYOTA,2014,3,CAMRY,Turner,Agent
10001932,105,600,600,2018-4-17,QUARTERLY,0,1,OHIO,US,800,150,US,0,CENTRAL,430,1,0,CASH,SHORT-TERM,DECEASED,4,BMW,2016,1,4SERIES,Wilson,Agent
10001933,155,500,710,2018-4-18,YEARLY,0,1,OHIO,US,925,155,US,0,CENTRAL,430,2,5,DEBIT,LONG-TERM,EVENT,0,FORD,2011,6,F150,Moore,Bank
10001934,120,550,865,2018-4-01,MONTHLY,0,1,OHIO,US,550,120,US,0,CENTRAL,430,2,3,CASH,NEW,NSF,3,GMC,2012,5,ACADIA,Parker,Bank
10001935,130,225,525,2018-4-02,YEARLY,0,1,OHIO,US,600,90,US,0,CENTRAL,430,2,8,DEBIT,SHORT-TERM,EVENT,2,GMC,2012,5,ACADIA,Davis,Bank
10001936,135,600,750,2018-4-03,MONTHLY,0,1,OHIO,US,770,45,US,0,CENTRAL,430,2,2,DEBIT,NEW,NSF,2,FORD,2009,8,F150,Morris,Bank
10001937,155,550,700,2018-4-04,YEARLY,0,1,OHIO,US,900,100,US,0,CENTRAL,430,2,0,DEBIT,LONG-TERM,EVENT,0,FORD,2005,12,F150,Scott,Bank
10001938,170,750,1200,2018-4-05,MONTHLY,1,1,OHIO,US,522,100,US,0,CENTRAL,430,2,0,CREDIT,SHORT-TERM,DECEASED,2,BMW,2016,1,4SERIES,Phillips,Agent
10001939,190,600,900,2018-4-06,MONTHLY,1,1,OHIO,US,450,125,US,0,CENTRAL,430,3,1,CASH,SHORT-TERM,DECEASED,4,HONDA,2016,1,CIVIC,Cook,Bank
10001940,100,700,1000,2018-4-07,QUARTERLY,0,1,OHIO,US,480,50,US,1,CENTRAL,430,3,16,CASH,NEW,DECEASED,3,GMC,2016,1,ACADIA,Sanders,Bank
10001941,101,650,1000,2018-4-08,MONTHLY,0,1,OHIO,US,655,100,US,0,CENTRAL,430,5,10,DEBIT,NEW,EVENT,2,GMC,2015,2,ACADIA,Gray,Bank
10001942,122,750,900,2018-4-09,YEARLY,0,1,OHIO,US,500,75,US,0,CENTRAL,430,3,15,CASH,SHORT-TERM,DECEASED,2,BMW,2016,1,4SERIES,Reed,Bank
10001943,111,450,885,2018-4-10,YEARLY,0,1,OHIO,US,700,100,US,0,CENTRAL,430,1,11,DEBIT,LONG-TERM,EVENT,0,FORD,2005,12,F150,Jones,Bank
10001944,125,500,600,2018-4-11,QUARTERLY,0,1,OHIO,US,725,120,US,0,CENTRAL,430,4,0,DEBIT,NEW,EVENT,2,FORD,2009,8,F150,Thomas,Bank
10001945,175,600,550,2018-4-12,YEARLY,0,1,OHIO,US,525,80,US,1,CENTRAL,430,3,4,CASH,SHORT-TERM,DECEASED,1,TOYOTA,2014,3,CAMRY,Watson,Agent
10001946,150,890,750,2018-4-13,YEARLY,0,1,OHIO,US,750,90,US,0,CENTRAL,430,4,8,DEBIT,NEW,NSF,2,BMW,2011,6,4SERIES,Green,Bank
10001947,100,500,720,2018-4-14,QUARTERLY,0,1,OHIO,US,800,200,US,0,CENTRAL,430,2,2,DEBIT,LONG-TERM,NSF,2,GMC,2012,5,ACADIA,Martin,Bank
10001948,111,450,550,2018-4-15,QUARTERLY,0,1,OHIO,US,750,150,US,1,CENTRAL,430,1,1,DEBIT,LONG-TERM,EVENT,0,GMC,2009,8,ACADIA,Nelson,Bank
10001949,155,450,500,2017-3-09,QUARTERLY,1,1,OHIO,US,800,155,US,0,CENTRAL,430,3,0,DEBIT,LONG-TERM,EVENT,0,FORD,2005,12,F150,Howard,Bank
10001950,120,625,600,2017-3-10,QUARTERLY,1,1,OHIO,US,925,120,US,0,CENTRAL,430,3,5,DEBIT,NEW,NSF,3,BMW,2012,5,4SERIES,Gray,Bank
10001951,105,500,710,2017-3-11,MONTHLY,0,1,OHIO,US,550,90,US,1,CENTRAL,430,3,9,DEBIT,LONG-TERM,EVENT,0,FORD,2005,12,F150,Parker,Bank
10001952,155,900,865,2018-4-19,YEARLY,0,1,OHIO,US,600,50,US,0,CENTRAL,430,3,0,DEBIT,LONG-TERM,EVENT,0,FORD,2005,12,F150,King,Bank
10001953,120,600,525,2018-4-20,MONTHLY,0,1,OHIO,US,725,55,US,0,CENTRAL,430,2,0,DEBIT,LONG-TERM,EVENT,3,FORD,2009,8,F150,Campbell,Bank
10001954,130,225,750,2019-3-22,MONTHLY,0,1,OHIO,US,525,45,US,0,CENTRAL,430,2,0,CASH,SHORT-TERM,DECEASED,3,BMW,2015,2,4SERIES,Jackson,Agent
10001955,135,250,700,2019-3-23,QUARTERLY,0,1,OHIO,US,750,100,US,0,CENTRAL,430,2,12,CASH,NEW,NSF,2,GMC,2011,6,ACADIA,Nelson,Bank
10001956,155,600,1200,2019-3-24,MONTHLY,1,1,OHIO,US,800,100,US,0,CENTRAL,430,2,9,CASH,NEW,NSF,3,GMC,2011,6,ACADIA,Adams,Bank
10001957,170,500,900,2018-4-16,YEARLY,1,1,OHIO,US,750,125,US,0,CENTRAL,430,2,0,CASH,SHORT-TERM,DECEASED,1,TOYOTA,2016,1,CAMRY,Green,Agent
10001958,190,550,1000,2018-4-17,YEARLY,0,1,OHIO,US,800,50,US,0,CENTRAL,430,2,5,CREDIT,SHORT-TERM,DECEASED,1,HONDA,2014,3,CIVIC,Watson,Agent
10001959,100,225,1000,2018-4-18,QUARTERLY,0,1,OHIO,US,925,100,US,0,CENTRAL,430,3,3,CASH,NEW,NSF,2,GMC,2012,5,ACADIA,Lee,Bank
10001960,101,600,900,2018-4-01,YEARLY,0,1,OHIO,US,550,75,US,0,CENTRAL,430,1,8,CREDIT,SHORT-TERM,DECEASED,4,HONDA,2016,1,CIVIC,Richardson,Agent
10001961,122,550,885,2018-4-02,MONTHLY,0,1,OHIO,US,600,100,US,0,CENTRAL,430,2,2,DEBIT,LONG-TERM,EVENT,0,FORD,2005,12,F150,Hill,Bank
10001962,111,750,600,2018-4-03,YEARLY,0,1,OHIO,US,770,120,US,1,CENTRAL,430,2,0,DEBIT,LONG-TERM,EVENT,0,FORD,2005,12,F150,Lee,Bank
10001963,125,600,550,2018-4-04,MONTHLY,1,1,OHIO,US,900,80,US,0,CENTRAL,430,4,0,CASH,SHORT-TERM,DECEASED,4,BMW,2014,3,4SERIES,Martinez,Agent
10001964,175,700,750,2018-4-05,MONTHLY,1,1,OHIO,US,522,90,US,0,CENTRAL,430,3,1,DEBIT,LONG-TERM,EVENT,2,FORD,2009,8,F150,King,Bank
10001965,150,650,720,2018-4-06,YEARLY,1,1,OHIO,US,450,200,US,0,CENTRAL,430,4,16,CASH,SHORT-TERM,DECEASED,3,BMW,2015,2,4SERIES,Morris,Agent
